metric,asset,seed_0,seed_1,seed_2,mean
A27_logreturn_std_error,4,0.0002461637839857965,0.00016998027833688058,4.764629459176812e-05,0.0001546
A27_logreturn_std_error,5,0.00029910670666414944,0.00024480810021710805,7.12794631085302e-05,0.00020506
A27_logreturn_std_error,6,2.8567823549124688e-05,1.0378839581097151e-05,7.446226307849765e-05,3.78e-05
A27_logreturn_std_error,7,3.385780804475479e-05,3.439872128417024e-05,5.246386329880743e-05,4.024e-05
A28_kurtosis_ratio,0,0.2554195101806485,0.35568578967272,0.3207402163589705,0.31061517
A28_kurtosis_ratio,1,0.13559094406553376,0.10930702144114048,0.6129198291768062,0.28593926
A28_kurtosis_ratio,2,1.2336357299878635,0.5054629534745037,1.1288073524976103,0.95596868
A28_kurtosis_ratio,3,0.06843974352964206,0.22703119664829752,0.011438179647835441,0.10230304
A28_kurtosis_ratio,4,0.09546756043131882,0.2851608047818653,0.11593154647930798,0.16551997
A28_kurtosis_ratio,5,0.4199006905405387,0.5922519678461938,0.6062477799232889,0.53946681
A28_kurtosis_ratio,6,0.3614553963263029,0.5742180445913759,0.48350982476164023,0.47306109
A28_kurtosis_ratio,7,0.3947452472633298,0.5075624291082736,0.5738921025937378,0.49206659
A29_sigma_mean_error,0,0.0007317507329872956,0.0010274385268092406,0.0005468698198549757,0.00076869
A29_sigma_mean_error,1,0.0010020860183825864,0.0004726030328740839,0.0010910184324876724,0.00085524
A29_sigma_mean_error,2,0.0017496170152612603,0.002461091294081434,0.0018484789306710036,0.00201973
A29_sigma_mean_error,3,0.003793853702719634,0.004275711731269831,0.003031322496152804,0.0037003
A29_sigma_mean_error,4,0.00194883050352526,0.001170205334667461,0.0002676891311786389,0.00112891
A29_sigma_mean_error,5,0.0021550838996130754,0.0017995058177916919,0.0002334402818144933,0.00139601
A29_sigma_mean_error,6,0.00035625592805916227,0.0005438756400004807,0.0013256566148103655,0.00074193
A29_sigma_mean_error,7,0.0010468493519789415,0.0006612431732030757,0.0015064095457682572,0.0010715
A2_abs_r_q95_error,0,9.54800590488692e-05,0.00014550058845062006,7.262055220782517e-05,0.00010453
A2_abs_r_q95_error,1,0.00012978109612538048,2.3433633252079034e-05,0.00012466172352007987,9.263e-05
A2_abs_r_q95_error,2,0.0001458441988773535,0.0003298152881412881,0.00018361765975476402,0.00021976
A2_abs_r_q95_error,3,0.00048178359214006133,0.0006110998854971681,0.00036374987811860215,0.00048554
A2_abs_r_q95_error,4,0.00027869007228256194,0.00015326169946368122,5.363068399687589e-06,0.00014577
A2_abs_r_q95_error,5,0.00042189795323346315,0.00040253021453970947,8.721400967872652e-05,0.00030388
A2_abs_r_q95_error,6,2.8446971450880355e-05,1.5498959278436707e-05,0.0001781066980946831,7.402e-05
A2_abs_r_q95_error,7,3.269737216613443e-05,0.00012017767821959069,7.514943899167292e-06,5.346e-05
A30_vol_path_rmse,0,0.0433804356640969,0.06844245694935289,0.028861265306352125,0.04689472
A30_vol_path_rmse,1,0.051794174907913285,0.02265123235410872,0.06207828912915952,0.0455079
A30_vol_path_rmse,2,0.03596430572234565,0.15968396205022212,0.057204177344463876,0.08428415
A30_vol_path_rmse,3,0.19271772011822927,0.3187324303951121,0.13262665280591263,0.21469227
A30_vol_path_rmse,4,0.20973476740307254,0.11907854490383073,0.010278145363778357,0.11303049
A30_vol_path_rmse,5,0.23755086378199197,0.16836991492637418,0.034062888436001734,0.14666122
A30_vol_path_rmse,6,0.0560316104941145,0.015276921590104431,0.06374248975217986,0.04501701
A30_vol_path_rmse,7,0.0364361517876006,0.08563522425921086,0.025565965811588365,0.04921245
A31_rolling_vol_ks,0,0.06043572154471544,0.06511872247628725,0.04692131393970189,0.05749192
A31_rolling_vol_ks,1,0.08152311991869915,0.08957777566056913,0.09182201685298108,0.08764097
A31_rolling_vol_ks,2,0.2596385924796748,0.25843310679200543,0.26425013761856375,0.26077395
A31_rolling_vol_ks,3,0.23230675177845522,0.20477245299796754,0.18289242462737132,0.20665721
A31_rolling_vol_ks,4,0.054070862974254785,0.03222259273373984,0.02615546663279133,0.03748297
A31_rolling_vol_ks,5,0.05479203717818426,0.06315368817750677,0.042872152354336,0.05360596
A31_rolling_vol_ks,6,0.07274199695121952,0.08771198551829268,0.0992216611619241,0.08655855
A31_rolling_vol_ks,7,0.1505494156504065,0.16207364710365854,0.18769981156842822,0.16677429
A32_vol_of_vol_error,0,4.951711777148577e-05,8.929906126269266e-05,3.609297099171769e-05,5.83e-05
A32_vol_of_vol_error,1,1.1656755022241422e-05,7.430069281517439e-05,2.7475873598620585e-05,3.781e-05
A32_vol_of_vol_error,2,2.024597994848543e-05,0.0001325107313117996,3.174706300536584e-05,6.15e-05
A32_vol_of_vol_error,3,0.0001863968594178758,0.00031591856045925934,0.00018224743358754425,0.00022819
A32_vol_of_vol_error,4,0.0002199503397748845,0.00016253641304839688,5.1981267128054854e-05,0.00014482
A32_vol_of_vol_error,5,0.00027583175106378406,0.0002254268379513383,8.879485620255293e-05,0.00019668
A32_vol_of_vol_error,6,6.136056775123301e-05,4.938886264452665e-05,2.1905406855820045e-05,4.422e-05
A32_vol_of_vol_error,7,3.3574081170229854e-05,0.00010510126323854367,3.5013064560306996e-05,5.79e-05
A3_abs_r_q99_error,0,0.00018089232283627745,0.0003688066704481939,0.0001412571129824423,0.00023032
