metric,asset,seed_0,mean
A2_abs_r_q95_error,0,7.772028330421633e-06,7.77e-06
A2_abs_r_q95_error,1,0.00019927206556920036,0.00019927
A2_abs_r_q95_error,2,0.0002419466651697894,0.00024195
A2_abs_r_q95_error,3,0.0008675533458573524,0.00086755
A2_abs_r_q95_error,4,0.00018248191473388973,0.00018248
A2_abs_r_q95_error,5,0.00015044702847344382,0.00015045
A2_abs_r_q95_error,6,0.00010479542612573754,0.0001048
A2_abs_r_q95_error,7,0.00010561437267142537,0.00010561
A30_vol_path_rmse,0,0.01360772452983601,0.01360772
A30_vol_path_rmse,1,0.07926854562273586,0.07926855
A30_vol_path_rmse,2,0.08958327017395203,0.08958327
A30_vol_path_rmse,3,0.3127262378489534,0.31272624
A30_vol_path_rmse,4,0.09319159783658928,0.0931916
A30_vol_path_rmse,5,0.04243402158585043,0.04243402
A30_vol_path_rmse,6,0.026939454754728392,0.02693945
A30_vol_path_rmse,7,0.10416835029916803,0.10416835
A31_rolling_vol_ks,0,0.2764862804878049,0.27648628
A31_rolling_vol_ks,1,0.10617139862804878,0.1061714
A31_rolling_vol_ks,2,0.33706226710704607,0.33706227
A31_rolling_vol_ks,3,0.23377821180555552,0.23377821
A31_rolling_vol_ks,4,0.19080946180555555,0.19080946
A31_rolling_vol_ks,5,0.12159129403794039,0.12159129
A31_rolling_vol_ks,6,0.03259839727303526,0.0325984
A31_rolling_vol_ks,7,0.12985105436991867,0.12985105
A32_vol_of_vol_error,0,7.75717394160883e-05,7.757e-05
A32_vol_of_vol_error,1,0.00014328960321855654,0.00014329
A32_vol_of_vol_error,2,2.6331716830842015e-05,2.633e-05
A32_vol_of_vol_error,3,0.00024810173809587053,0.0002481
A32_vol_of_vol_error,4,5.060328654211195e-06,5.06e-06
A32_vol_of_vol_error,5,2.0028780597486666e-05,2.003e-05
A32_vol_of_vol_error,6,7.580297258876856e-05,7.58e-05
A32_vol_of_vol_error,7,3.401192403785754e-05,3.401e-05
A3_abs_r_q99_error,0,0.00023550486778909827,0.0002355
A3_abs_r_q99_error,1,0.0006146350688755677,0.00061464
A3_abs_r_q99_error,2,0.00012573369544748307,0.00012573
A3_abs_r_q99_error,3,0.0018545015224176796,0.0018545
A3_abs_r_q99_error,4,0.00023815908390310272,0.00023816
A3_abs_r_q99_error,5,0.00018315160902636612,0.00018315
A3_abs_r_q99_error,6,0.0002372300430778006,0.00023723
A3_abs_r_q99_error,7,0.0004107782904013658,0.00041078
A4_tail_qq_error,0,6.019280119408069e-05,6.019e-05
A4_tail_qq_error,1,0.0002031228030806746,0.00020312
