metric,scope,mean,std,seed_0,seed_1,seed_2
A31_rolling_vol_ks,per-asset-mean,0.171146,0.00912011,0.16169718093665314,0.16826747491107724,0.1834733337567751
A32_vol_of_vol_error,per-asset-mean,9.409e-05,2.096e-05,8.962936299790572e-05,0.00012169243216129498,7.09397970776251e-05
B_log_ret_hist_funct,per-asset-mean,207142.33771278,15912.05110078,185526.49727432712,212532.08139788022,223368.43446614107
B_log_ret_hist_der,per-asset-mean,453778.79666716,32715.5734582,409343.04949746793,464835.9623823386,487157.3781216611
B_log_ret_hist_sec_der,per-asset-mean,1370180.54974326,96618.23070472,1240233.8345543959,1398575.0587297387,1471732.7559456364
B_log_ret_hist_funct_pct,per-asset-mean,740411678.252643,49294480.45796655,670742246.0576384,773114172.8207273,777378615.8795632
B_log_ret_hist_der_pct,per-asset-mean,989099155.6355718,165150386.8673589,761819903.5946679,1056154646.8303887,1149322916.4816587
B_log_ret_hist_sec_der_pct,per-asset-mean,1565474167.6823444,282520420.7746729,1172431108.0274878,1699830215.3278651,1824161179.69168
B_log_ret_hist_funct_nrmse,per-asset-mean,22.49882423,1.18555346,21.000914743188304,22.595470829989377,23.900087103282164
B_log_ret_hist_der_nrmse,per-asset-mean,96.64829379,4.81758115,90.93590095272216,96.28889411223767,102.720086296734
B_log_ret_hist_sec_der_nrmse,per-asset-mean,98.49860475,4.83591313,92.79785733556062,98.07709934232386,104.62085757508059
B_log_ret_hist_funct_cvar90,per-asset-mean,49.06022191,1.63507912,47.11153438320956,48.95651730264932,51.112614037060325
B_log_ret_hist_funct_cvar95,per-asset-mean,73.95143122,3.09990589,69.84574359685263,74.67325224501991,77.33529782449665
B_qq_plot_funct,per-asset-mean,2e-08,0.0,1.9041265188665806e-08,2.626885625579887e-08,2.80053692635501e-08
B_qq_plot_der,per-asset-mean,0.0,0.0,2.8731253510928563e-09,5.2065889145812515e-09,1.6648156307798094e-09
B_qq_plot_sec_der,per-asset-mean,0.0,0.0,3.4723851805276985e-09,4.642165945310048e-09,2.445070759638056e-09
B_qq_plot_funct_pct,per-asset-mean,277.7992177,18.7542031,253.05496752216393,298.44006476759057,281.9026208239392
B_qq_plot_der_pct,per-asset-mean,101.67683688,0.48330092,101.03076397465537,102.19303653052216,101.80671014127293
B_qq_plot_sec_der_pct,per-asset-mean,356.16383973,15.22345466,370.08686197120204,363.42352569841,334.9811315242174
B_qq_plot_funct_nrmse,per-asset-mean,5.64638958,0.27822237,5.264547012623119,5.919522298980965,5.755099443111278
B_qq_plot_der_nrmse,per-asset-mean,6.31372257,1.32504173,6.032716921636029,8.058712932812572,4.849737866830025
B_qq_plot_sec_der_nrmse,per-asset-mean,11.43702554,1.52310969,11.214638336627182,13.403671280544431,9.69276701459637
B_qq_plot_funct_cvar90,per-asset-mean,5.58587233,0.29480059,5.175531354505498,5.854888705958962,5.727196940078871
B_qq_plot_funct_cvar95,per-asset-mean,6.92170111,0.51813843,6.392338134536136,7.6251675980500195,6.747597583261646
B_acf_abs_r_funct,per-asset-mean,0.00014138,3.2e-06,0.00014466354467860033,0.00013703582425050973,0.00014245453221237796
B_acf_abs_r_der,per-asset-mean,8.697e-05,1.335e-05,7.088196488615715e-05,8.645751545271808e-05,0.00010356664903169132
B_acf_abs_r_sec_der,per-asset-mean,0.00030436,5.352e-05,0.00024094503557009836,0.000300287815588578,0.0003718613107091249
B_acf_abs_r_funct_pct,per-asset-mean,213.17507255,17.7134959,215.8800386497399,190.2549221628176,233.39025684294472
B_acf_abs_r_der_pct,per-asset-mean,234.67229437,18.62237846,214.37473807389654,259.3536695274957,230.28847551184265
B_acf_abs_r_sec_der_pct,per-asset-mean,54.60755412,5.46686976,47.69936702180813,55.055369115579474,61.06792621357337
B_acf_abs_r_funct_nrmse,per-asset-mean,18.57907519,0.29092217,18.88544083722391,18.188071771531757,18.663712951328627
B_acf_abs_r_der_nrmse,per-asset-mean,35.18812963,2.57534414,31.87984731995747,35.52316228561808,38.16137929088207
B_acf_abs_r_sec_der_nrmse,per-asset-mean,99.86377569,8.74309705,89.40033967484456,99.39023306128448,110.80075434110839
B_acf_abs_r_funct_cvar90,per-asset-mean,32.47963997,0.40643541,33.04544463198636,32.109082521286375,32.284392747323736
B_acf_abs_r_funct_cvar95,per-asset-mean,38.49721682,0.77221473,39.055424904833956,39.03099418760734,37.40523137712544
B_acf_sq_r_funct,per-asset-mean,6.251e-05,1.5e-06,6.460220820934105e-05,6.117617879386079e-05,6.17511566861888e-05
B_acf_sq_r_der,per-asset-mean,6.178e-05,9.35e-06,5.081529329101871e-05,6.084569662847129e-05,7.366773695715657e-05
B_acf_sq_r_sec_der,per-asset-mean,0.00021049,3.995e-05,0.00016749561021176315,0.00020023008988311256,0.00026373264609816816
B_acf_sq_r_funct_pct,per-asset-mean,126.25600118,11.62464425,127.34990142328284,139.9147213133132,111.50338078976208
B_acf_sq_r_der_pct,per-asset-mean,113.81348,6.43636883,107.16594972866018,111.75226401514506,122.52222624651696
B_acf_sq_r_sec_der_pct,per-asset-mean,61.42824716,5.76848883,54.932773220216696,60.40166443414526,68.95030381392652
B_acf_sq_r_funct_nrmse,per-asset-mean,14.82031533,0.18437554,15.017504285723575,14.57397478741103,14.869466907724362
B_acf_sq_r_der_nrmse,per-asset-mean,37.2658144,2.49265466,34.2065289040022,37.27869411245532,40.31222018306283
B_acf_sq_r_sec_der_nrmse,per-asset-mean,92.03457783,8.88827461,82.22279684955365,90.13614220146843,103.74479442991452
B_acf_sq_r_funct_cvar90,per-asset-mean,26.60729066,0.42135966,27.108578727062884,26.63566033206599,26.077632926138
B_acf_sq_r_funct_cvar95,per-asset-mean,33.22644216,2.07851493,34.451848249000804,34.9276365701227,30.299841670783266
B_roll_vol_hist_funct,per-asset-mean,108513.08419817,11427.2712216,94506.87613976846,108534.54134238603,122497.83511236115
B_roll_vol_hist_der,per-asset-mean,36648.38171669,8492.36176217,24735.924749329286,41281.60634551961,43927.614055215396
B_roll_vol_hist_sec_der,per-asset-mean,105628.33388035,27145.32688919,67936.41979827604,118166.13211684028,130782.44972593882
B_roll_vol_hist_funct_pct,per-asset-mean,269618547.45600873,64818252.69719406,188965232.10811856,272217352.4661551,347673057.79375243
