metric,scope,mean,std,seed_0,seed_1,seed_2
A31_rolling_vol_ks,per-asset-mean,0.1657867,0.00350974,0.16209548081808942,0.16475853235094853,0.17050609226795393
A32_vol_of_vol_error,per-asset-mean,0.00011161,3.9e-05,0.00012170836477294275,0.00015351340528750934,5.959686352695305e-05
B_log_ret_hist_funct,per-asset-mean,210303.5156629,17822.69595913,185742.87760046162,217679.3438590015,227488.325529236
B_log_ret_hist_der,per-asset-mean,427928.71545166,37683.24746207,376719.45475255756,440756.43604497146,466310.2555574611
B_log_ret_hist_sec_der,per-asset-mean,1270315.71180702,112451.26158259,1120349.4829574618,1299467.3195933008,1391130.3328702974
B_log_ret_hist_funct_pct,per-asset-mean,163899484.8947099,34543479.25128672,129487730.24781324,151076188.15746427,211134536.27885216
B_log_ret_hist_der_pct,per-asset-mean,3662382.82030049,1356818.78470305,5537271.842058335,3078532.9768778416,2371343.6419652794
B_log_ret_hist_sec_der_pct,per-asset-mean,215773.50922057,116768.08023701,371336.13882328925,90009.09274092005,185975.29609748832
B_log_ret_hist_funct_nrmse,per-asset-mean,10.54256747,0.64504778,9.759472654408583,10.52889660652167,11.339333148186634
B_log_ret_hist_der_nrmse,per-asset-mean,17.71704543,1.1619991,16.3373024696604,17.633874286100504,19.179959527959866
B_log_ret_hist_sec_der_nrmse,per-asset-mean,17.1426097,1.11727441,15.826437483799905,17.04358208267722,18.55780952188505
B_log_ret_hist_funct_cvar90,per-asset-mean,24.79232949,1.01229777,23.52711479400314,24.84481271218381,26.005060960735094
B_log_ret_hist_funct_cvar95,per-asset-mean,35.72816584,1.92815982,33.392318013442335,35.67766385981892,38.1145156494878
B_qq_plot_funct,per-asset-mean,3e-08,1e-08,3.0779080917673476e-08,3.302270437128855e-08,1.8898081455423494e-08
B_qq_plot_der,per-asset-mean,0.0,0.0,5.172088834160759e-09,7.299845990920789e-09,2.0209324072787397e-09
B_qq_plot_sec_der,per-asset-mean,1e-08,0.0,6.205285782283718e-09,7.191381323416931e-09,3.4279817772273605e-09
B_qq_plot_funct_pct,per-asset-mean,480.77077596,33.20457032,511.54185954219855,496.10445529634757,434.6660130455364
B_qq_plot_der_pct,per-asset-mean,153.8170593,30.93120758,184.8943261402847,164.93854625074974,111.6183055198172
B_qq_plot_sec_der_pct,per-asset-mean,437.54004769,64.54316482,514.3594669345151,441.8247499589851,356.435926173918
B_qq_plot_funct_nrmse,per-asset-mean,6.19988755,0.83284304,6.698934409860676,6.874298892590508,5.026429354882361
B_qq_plot_der_nrmse,per-asset-mean,8.34991136,2.01187397,8.767894596630969,10.57821800067683,5.703621482581106
B_qq_plot_sec_der_nrmse,per-asset-mean,13.9340086,2.25169016,14.347681107297117,16.46154963806751,10.992795063057915
B_qq_plot_funct_cvar90,per-asset-mean,6.51558242,1.1856323,7.180890619547563,7.515823554635665,4.850033097930245
B_qq_plot_funct_cvar95,per-asset-mean,8.26818729,2.02171752,9.076195040754214,10.239337132014848,5.48902969976249
B_acf_abs_r_funct,per-asset-mean,0.00013384,7e-06,0.0001421337166763259,0.00012501360564782594,0.00013438119346112298
B_acf_abs_r_der,per-asset-mean,3.051e-05,6.66e-06,2.3503515777274855e-05,2.855875028442331e-05,3.9469165256289546e-05
B_acf_abs_r_sec_der,per-asset-mean,8.979e-05,2.606e-05,5.9486597055847456e-05,8.677374065740514e-05,0.00012310787495134088
B_acf_abs_r_funct_pct,per-asset-mean,265.88080013,29.18688512,305.4314594077872,235.87705871434287,256.3338822706055
B_acf_abs_r_der_pct,per-asset-mean,138.93164925,88.82697688,264.14108657714854,67.53515389568636,85.11870728734834
B_acf_abs_r_sec_der_pct,per-asset-mean,43.86709345,6.1778994,36.93525363986356,42.727379951112475,51.93864677156438
B_acf_abs_r_funct_nrmse,per-asset-mean,13.33240368,0.39855779,13.80755511194347,12.832252630156642,13.357403289510216
B_acf_abs_r_der_nrmse,per-asset-mean,18.24787736,2.31320181,15.620996565750621,17.872834149719573,21.249801356463127
B_acf_abs_r_sec_der_nrmse,per-asset-mean,40.38418055,6.83132038,32.23352248064967,39.967796451700686,48.95122272426575
B_acf_abs_r_funct_cvar90,per-asset-mean,21.14142381,0.46568392,21.25757505532595,20.521944639527312,21.644751720308943
B_acf_abs_r_funct_cvar95,per-asset-mean,23.70590462,0.765526,24.322045474154898,22.62691077574643,24.168757600192166
B_acf_sq_r_funct,per-asset-mean,6.04e-05,5.36e-06,6.736820672288399e-05,5.431853527425627e-05,5.951577878754344e-05
B_acf_sq_r_der,per-asset-mean,1.939e-05,4.81e-06,1.5444686003401074e-05,1.65644768044369e-05,2.6170384192681844e-05
B_acf_sq_r_sec_der,per-asset-mean,5.557e-05,1.656e-05,3.9420103772791506e-05,4.896603065325056e-05,7.832774903612742e-05
B_acf_sq_r_funct_pct,per-asset-mean,208.32072064,20.59903948,235.48820272496647,185.63057642273708,203.84338276202567
B_acf_sq_r_der_pct,per-asset-mean,78.95646478,15.06525819,63.23467657110729,74.36496802463859,99.26974973656587
B_acf_sq_r_sec_der_pct,per-asset-mean,51.01565671,6.45284987,43.32269297974128,50.61094592750716,59.113331220756564
B_acf_sq_r_funct_nrmse,per-asset-mean,11.133041,0.49903025,11.753549621501975,10.531627663832102,11.113945703856952
B_acf_sq_r_der_nrmse,per-asset-mean,16.74476685,2.18659975,14.759564126194759,15.68406470512269,19.790671719716876
B_acf_sq_r_sec_der_nrmse,per-asset-mean,46.73468102,7.33228384,39.383524459573835,44.0767016498999,56.74381694251768
B_acf_sq_r_funct_cvar90,per-asset-mean,17.66794515,0.60679152,17.95269479170541,16.824512451370236,18.22662821628193
B_acf_sq_r_funct_cvar95,per-asset-mean,19.94616139,0.79799494,20.355684461415798,18.830679249966774,20.65212046278212
B_roll_vol_hist_funct,per-asset-mean,144683.70255218,5002.92517667,141016.30483263358,141277.50294346886,151757.29988043942
B_roll_vol_hist_der,per-asset-mean,47827.642388,5853.04320167,39622.27271502697,52874.30999887563,50986.34445009091
B_roll_vol_hist_sec_der,per-asset-mean,125460.16580261,14837.9513892,104479.93060375484,136295.9716904923,135604.5951135786
B_roll_vol_hist_funct_pct,per-asset-mean,47.37191096,5.36024398,53.98069919521019,47.28330007847009,40.851733600563364
B_roll_vol_hist_der_pct,per-asset-mean,4582747.07183721,2395448.30295246,3225767.522764963,2573075.0700424314,7949398.62270424
B_roll_vol_hist_sec_der_pct,per-asset-mean,8809664.66811676,2005134.51206846,9917479.072234549,5995136.522212148,10516378.409903571
B_roll_vol_hist_funct_nrmse,per-asset-mean,14.13949392,0.65065491,13.321910973998339,14.182640316328552,14.913930466845029
B_roll_vol_hist_der_nrmse,per-asset-mean,32.85144028,2.05879972,29.957819623618576,34.57790054211519,34.01860066929157
B_roll_vol_hist_sec_der_nrmse,per-asset-mean,110.83890712,3.86477732,107.58629610278693,116.26917724082426,108.66124800586769
B_roll_vol_hist_funct_cvar90,per-asset-mean,36.50889449,1.62806652,34.44292577309156,36.66169088797295,38.42206680698624
B_roll_vol_hist_funct_cvar95,per-asset-mean,44.55692678,3.17603994,40.741341445749995,44.41244607596039,48.51699281534628
B_tail_surv_funct,per-asset-mean,0.01208887,0.00024139,0.01184368436522984,0.012005756042603137,0.012417168169288798
B_tail_surv_der,per-asset-mean,0.0001309,1.92e-05,0.00010842429785516499,0.00012893514817638598,0.00015533165892382922
B_tail_surv_sec_der,per-asset-mean,0.00016348,3.825e-05,0.00012701408435907596,0.0001471137956976967,0.0002163102424790516
B_tail_surv_funct_pct,per-asset-mean,23.24336678,1.05179907,24.579350293766943,23.141752083310475,22.008997965735503
B_tail_surv_der_pct,per-asset-mean,59.30436839,1.56155377,57.15819796730982,59.926743437189685,60.82816375142211
B_tail_surv_sec_der_pct,per-asset-mean,98310.43404803,1922.94256852,97967.26221280414,96145.73295386977,100818.3069774076
B_tail_surv_funct_nrmse,per-asset-mean,11.96572265,0.3290237,11.58965197698312,11.916454322420794,12.391061656456703
B_tail_surv_der_nrmse,per-asset-mean,102.27157167,6.47719396,94.093164061832,102.7877796578367,109.93377129887963
B_tail_surv_sec_der_nrmse,per-asset-mean,140.92584673,11.5938315,127.59226642666869,139.3290347235034,155.85623903771096
B_tail_surv_funct_cvar90,per-asset-mean,19.05628933,0.42070623,18.529643616813203,19.07987521398013,19.559349157481186
B_tail_surv_funct_cvar95,per-asset-mean,20.25778227,0.23894002,19.9208179795529,20.448168674085053,20.404360157937596
grid_tvd,per-asset-mean,5.06978565,0.56227045,5.492655436197916,4.275163014729818,5.441538492838542
A19_pred_score_gru,per-asset-mean,0.00788721,3.717e-05,0.00786575,0.0079395,0.007856375
A19_pred_score_mlp,per-asset-mean,0.00829075,3.323e-05,0.008302375,0.008324375,0.0082455
