metric,asset,seed_0,seed_1,seed_2,mean
A17_terminal_ks,7,0.0556640625,0.02864583333333337,0.03515625,0.03982205
A19_pred_score_gru,0,0.009569,0.009615,0.009596,0.00959333
A19_pred_score_gru,1,0.008494,0.008445,0.008423,0.008454
A19_pred_score_gru,2,0.008749,0.009042,0.009035,0.008942
A19_pred_score_gru,3,0.006872,0.006931,0.006868,0.00689033
A19_pred_score_gru,4,0.008034,0.008046,0.00808,0.00805333
A19_pred_score_gru,5,0.006043,0.006182,0.006042,0.006089
A19_pred_score_gru,6,0.007766,0.007807,0.007757,0.00777667
A19_pred_score_gru,7,0.007399,0.007448,0.00705,0.007299
A19_pred_score_mlp,0,0.009621,0.010164,0.009846,0.009877
A19_pred_score_mlp,1,0.008471,0.008438,0.008552,0.008487
A19_pred_score_mlp,2,0.009199,0.008853,0.009527,0.009193
A19_pred_score_mlp,3,0.007137,0.006978,0.007392,0.007169
A19_pred_score_mlp,4,0.009321,0.008064,0.008699,0.00869467
A19_pred_score_mlp,5,0.006079,0.006279,0.006063,0.00614033
A19_pred_score_mlp,6,0.008954,0.00816,0.008525,0.00854633
A19_pred_score_mlp,7,0.007637,0.009659,0.00736,0.00821867
A1_kurtosis_error,0,171.00455484195538,113.4874483789822,47.807989123261436,110.76666411
A1_kurtosis_error,1,265.05016518036217,216.07303728890517,51.7484766803567,177.62389305
A1_kurtosis_error,2,50.19168727250698,297.0892232938386,103.97670034052426,150.41920364
A1_kurtosis_error,3,845.1782457593442,140.56857854221784,5968.937826978368,2318.22821709
A1_kurtosis_error,4,470.0822616310732,67.78869387225237,51.34952999310926,196.4068285
A1_kurtosis_error,5,93.73219762021161,45.19383831606824,4.92265552541987,47.94956382
A1_kurtosis_error,6,64.69707988463469,11.473673607345226,25.082531677726195,33.75109506
A1_kurtosis_error,7,21.443852139777043,32.76329968314639,40.241760673016,31.48297083
A21_acf_abs,0,0.015484765807725977,0.014819512664405097,0.014783649104307156,0.01502931
A21_acf_abs,1,0.012699451897806678,0.012614075278014586,0.013975804837490563,0.01309644
A21_acf_abs,2,0.015725640826866435,0.01900767017142169,0.0190753217234109,0.01793621
A21_acf_abs,3,0.007646434506110326,0.010928263955112013,0.012006236064575068,0.01019364
A21_acf_abs,4,0.005681123955422737,0.005884221263449339,0.008215519439331359,0.00659362
A21_acf_abs,5,0.012721281030851649,0.011232298471110673,0.009224561215908833,0.01105938
A21_acf_abs,6,0.015104042249845084,0.012115901408087059,0.011682980704087211,0.01296764
A21_acf_abs,7,0.020989323784867765,0.02042738166803321,0.02048951197037947,0.02063541
A22_acf_sq,0,0.011823903489995354,0.011152839017716708,0.010250849665675769,0.01107586
A22_acf_sq,1,0.008401101769724813,0.008029920828680268,0.009017877943141557,0.00848297
A22_acf_sq,2,0.007174173420102793,0.007733443157199791,0.009012335363669277,0.00797332
A22_acf_sq,3,0.0034629339134540607,0.005125829669964175,0.007786479487693559,0.00545841
A22_acf_sq,4,0.004290968681900581,0.003359945166592253,0.005883393329060935,0.00451144
A22_acf_sq,5,0.009972334217597509,0.008993634949456122,0.006511370267541705,0.00849245
A22_acf_sq,6,0.012960611439425777,0.010932403189166887,0.010687667513054031,0.01152689
A22_acf_sq,7,0.014057112930425579,0.013146005054572966,0.014020205946941953,0.01374111
A23_acf_lag1_abs_error,0,0.0159108312368912,0.020095249884977656,0.018680622806599337,0.0182289
A23_acf_lag1_abs_error,1,0.010378459865418188,0.011247217240573787,0.013790796711575723,0.01180549
A23_acf_lag1_abs_error,2,0.038683522409958086,0.03693540943546769,0.03593602743517107,0.03718499
A23_acf_lag1_abs_error,3,0.018715992186624175,0.02140929403410556,0.024113520843297327,0.02141294
A23_acf_lag1_abs_error,4,0.0048230581522233085,0.010415236375787534,0.014892730814026173,0.01004368
A23_acf_lag1_abs_error,5,0.015457259198522644,0.012016299710268116,0.006323095237370624,0.01126555
A23_acf_lag1_abs_error,6,0.015522877282742223,0.013557712823150062,0.009949706019333135,0.0130101
A23_acf_lag1_abs_error,7,0.012387912360907485,0.013440846494149977,0.01015283844908399,0.01199387
A24_acf_lag1_sq_error,0,0.014890447279272467,0.018948290763438125,0.012936790604829995,0.01559184
A24_acf_lag1_sq_error,1,0.006826695705924313,0.009131911116625938,0.007420642795890581,0.00779308
A24_acf_lag1_sq_error,2,0.018617918123697466,0.017664415365679455,0.019646044826976676,0.01864279
A24_acf_lag1_sq_error,3,0.008838513715337414,0.008961173542533028,0.013872897303295224,0.01055753
A24_acf_lag1_sq_error,4,0.0002443284080907854,0.007211705715420708,0.010797377215676127,0.00608447
A24_acf_lag1_sq_error,5,0.012546059645816704,0.008283347854835588,0.0009391872746680185,0.0072562
A24_acf_lag1_sq_error,6,0.013075629385863666,0.012447535403073903,0.00891222865022194,0.01147846
A24_acf_lag1_sq_error,7,0.006020856007702295,0.010253122490276927,0.005078389374103494,0.00711746
A26_std_error,0,0.003361890656122836,0.007510874373011386,0.0005853411969586539,0.00381937
A26_std_error,1,0.0004607431156005773,0.006951223582697279,0.0031555611103589315,0.00352251
A26_std_error,2,0.013672949463810445,0.02097714640805299,0.010903632087605246,0.01518458
A26_std_error,3,0.03744831141052349,0.05150105882848567,0.03891776049414351,0.04262238
A26_std_error,4,0.03733795982609258,0.0140795753266049,0.0053556936517322115,0.01892441
A26_std_error,5,0.03154952018992388,0.03130736248311897,0.0021789972460327933,0.02167863
A26_std_error,6,0.004277594433163709,0.006495255427640803,0.012999377018085317,0.00792408
A26_std_error,7,0.0017896572695805663,0.0016330601703586911,0.013482159442924468,0.00563496
A27_logreturn_std_error,0,3.3939186424892154e-05,7.558810574127389e-05,6.075893670781933e-06,3.853e-05
A27_logreturn_std_error,1,4.8930470913537746e-06,6.885098499983307e-05,3.2015838511601554e-05,3.525e-05
A27_logreturn_std_error,2,0.00013662850564199764,0.0002078719931626683,0.00010824949242794818,0.00015092
A27_logreturn_std_error,3,0.0003664046476589372,0.0005167336270912577,0.0003663648004171684,0.0004165
A27_logreturn_std_error,4,0.0003674577400249394,0.00014473433313540694,5.350728588656274e-05,0.00018857
A27_logreturn_std_error,5,0.000309226841943068,0.00031022404940291546,2.1882574654796165e-05,0.00021378
A27_logreturn_std_error,6,3.98418695558983e-05,6.367511911946995e-05,0.00012996440679165515,7.783e-05
A27_logreturn_std_error,7,1.59873820658364e-05,1.3485373845806671e-05,0.00013473370546463088,5.474e-05
A28_kurtosis_ratio,0,0.13350995550087175,0.17936964426703758,0.3499885187617556,0.22095604
A28_kurtosis_ratio,1,0.09361833254278139,0.13154554542404417,0.33965561798872823,0.18827317
A28_kurtosis_ratio,2,0.5042288469224184,0.14892044073288477,0.3142164486084607,0.32245525
A28_kurtosis_ratio,3,0.04753715681097699,0.16557569205732867,0.007622924693234688,0.07357859
A28_kurtosis_ratio,4,0.08060979933227097,0.34543572675241163,0.4821426464426017,0.30272939
A28_kurtosis_ratio,5,0.59801168400059,0.750803837397816,0.9909097837336822,0.77990844
A28_kurtosis_ratio,6,0.2621406735499138,0.7272166749474022,0.5930682549597243,0.5274752
A28_kurtosis_ratio,7,0.3189838028594633,0.25930191180892986,0.246359499219806,0.27488174
A29_sigma_mean_error,0,8.493306573774655e-05,0.00025331219877468454,0.0004736526416559911,0.00027063
A29_sigma_mean_error,1,0.0004701109364371129,0.0002241891075628888,0.0009156359270759825,0.00053665
A29_sigma_mean_error,2,0.002271730918452515,0.002300553513191061,0.0017441598922875732,0.00210548
A29_sigma_mean_error,3,0.004659218480858061,0.0045851992919870715,0.004153549013850837,0.00446599
A29_sigma_mean_error,4,0.003396251217738462,0.0015688087607651172,0.0007980043705349844,0.00192102
A29_sigma_mean_error,5,0.002376797088690999,0.0023031113734665737,8.744019273731682e-06,0.00156288
A29_sigma_mean_error,6,0.0011613824983254754,0.0015219950279367397,0.0019940299365259918,0.00155914
