step,phase,loss_total,discrepancy_objective,complete_objective,running_cost,grad_norm,mmd_observed_path,mmd_increments,mmd_terminal,mmd_global_rv,mmd_abs_return_acf,mmd_squared_return_acf
1200,source,728.9024658203125,2.0706913471221924,2.0723614593734965,0.00167011225130409,20.781975539606183,0.0004559755325317383,7.271766662597656e-06,0.0008449554443359375,0.005262494087219238,0.0023789405822753906,0.0036823153495788574
1300,source,709.5166015625,1.7953962087631226,1.7965055496897548,0.0011093409266322851,22.35958879134196,0.0006383657455444336,6.4373016357421875e-06,0.0012738704681396484,0.0024042129516601562,0.0023032426834106445,0.004465878009796143
1400,source,278.52130126953125,1.5046980381011963,1.50666284118779,0.001964803086593747,13.232034049034104,0.00018298625946044922,7.62939453125e-06,0.0001131296157836914,0.002746105194091797,0.0023294687271118164,0.005762696266174316
1500,source,1019.7710571289062,2.00896954536438,2.0119712587911636,0.003001713426783681,37.261264743972376,0.00042366981506347656,8.344650268554688e-06,0.0008487701416015625,0.003973960876464844,0.0022891759872436523,0.0038570165634155273
1600,source,110.59113311767578,1.3896713256835938,1.3909103500191122,0.0012390243355184793,3.579781005270668,0.0002675056457519531,7.3909759521484375e-06,9.012222290039062e-05,0.0010116100311279297,0.00244140625,0.0042580366134643555
1700,source,465.2709045410156,1.6529850959777832,1.6548238318646327,0.001838735886849463,9.449069925960016,0.0005718469619750977,8.463859558105469e-06,0.0007834434509277344,0.002044081687927246,0.0022717714309692383,0.004998683929443359
1800,source,614.6958618164062,1.9887875318527222,1.990424775867723,0.0016372440150007606,25.237770095907234,0.00034499168395996094,7.510185241699219e-06,0.0009528398513793945,0.004407763481140137,0.0021680593490600586,0.0036764144897460938
1900,source,210.80262756347656,1.410422921180725,1.4121940532932058,0.0017711321124807,5.095565174819082,0.0001533031463623047,8.225440979003906e-06,0.0005145072937011719,0.0017112493515014648,0.002227306365966797,0.0034103989601135254
2000,source,215.47915649414062,1.4332689046859741,1.4351893463172019,0.0019204416312277317,11.475303108509323,0.0002791881561279297,7.3909759521484375e-06,0.00037086009979248047,0.0018897056579589844,0.0025000572204589844,0.0041277408599853516
2100,source,195.1324005126953,1.411191701889038,1.415048757335171,0.0038570554461330175,12.246864743047746,0.0002180337905883789,7.152557373046875e-06,0.0003132820129394531,0.001023411750793457,0.002110004425048828,0.004107356071472168
2200,source,131.88941955566406,1.176436185836792,1.1790881145279855,0.0026519286911934614,13.128903100831398,4.1484832763671875e-05,5.4836273193359375e-06,7.200241088867188e-05,0.000876307487487793,0.002052783966064453,0.0044214725494384766
2300,source,402.78253173828125,1.5889297723770142,1.591302579967305,0.002372807590290904,2.247087087531309,0.0008862018585205078,7.867813110351562e-06,0.0011303424835205078,0.0004210472106933594,0.0021091699600219727,0.003683030605316162
2400,source,185.36849975585938,1.3962689638137817,1.397872294881381,0.0016033310675993562,6.586069193413668,7.009506225585938e-05,7.3909759521484375e-06,0.00021636486053466797,0.0023179054260253906,0.0024313926696777344,0.0037996768951416016
2500,source,1407.624267578125,2.6878550052642822,2.6904289382509887,0.0025739329867064953,37.90214197820043,0.0006659030914306641,7.62939453125e-06,0.0023883581161499023,0.00403904914855957,0.0021697282791137695,0.004093527793884277
2600,source,162.39344787597656,1.284761905670166,1.2870437451638281,0.002281839493662119,14.57020236902444,5.984306335449219e-05,6.9141387939453125e-06,5.14984130859375e-05,0.0015866756439208984,0.002140522003173828,0.0037595629692077637
2700,source,957.9058837890625,2.146681308746338,2.149582591606304,0.002901282859966159,32.94983328295377,0.0003323554992675781,8.106231689453125e-06,0.0007104873657226562,0.005313992500305176,0.0023032426834106445,0.004462599754333496
