epoch,loss_D_0,loss_D_1,loss_D_2,loss_D_3,loss_D_4,loss_G_0,loss_G_1,loss_G_2,loss_G_3,loss_G_4,loss_CD
176,0.69108,0.67482,0.66986,0.68077,0.68950,-2.73027,-2.45221,-2.27199,-2.57494,-2.45799,0.62579
177,0.65824,0.70737,0.69508,0.63529,0.67010,-2.18868,-2.38272,-2.30676,-2.28104,-2.36437,0.61161
178,0.68853,0.68331,0.68228,0.69996,0.68612,-2.67422,-2.58563,-2.58268,-2.54245,-2.61766,0.68887
179,0.66342,0.65353,0.69530,0.65962,0.69109,-2.41143,-2.44598,-2.64599,-2.54146,-2.66934,0.64172
180,0.69615,0.68783,0.68535,0.67959,0.68057,-2.42935,-2.42947,-2.69324,-2.74088,-2.80955,0.63005
181,0.68030,0.66350,0.68819,0.68100,0.71566,-2.51736,-2.25145,-2.53676,-2.46845,-2.64420,0.65447
182,0.69365,0.68134,0.66211,0.65183,0.67571,-2.56846,-2.36182,-2.76032,-2.55639,-2.41495,0.63665
183,0.68094,0.68005,0.69838,0.65088,0.67890,-2.42717,-2.46303,-2.36017,-2.59010,-2.57142,0.68107
184,0.68264,0.66838,0.67085,0.66184,0.66745,-2.77973,-2.62247,-2.50052,-2.55343,-2.77688,0.65283
185,0.71271,0.68967,0.68049,0.65067,0.67604,-2.66727,-2.70944,-2.39405,-2.34449,-2.39853,0.67562
186,0.68569,0.68116,0.69040,0.66962,0.69165,-2.73876,-2.72635,-2.87219,-2.62313,-2.47941,0.65776
187,0.67978,0.67742,0.65952,0.64200,0.68971,-2.54018,-2.44345,-2.59612,-2.47390,-2.54004,0.63811
188,0.67975,0.67548,0.69741,0.66886,0.67523,-2.80140,-2.91091,-2.68319,-2.47844,-2.52874,0.66404
189,0.68094,0.68317,0.67915,0.65096,0.66914,-2.51854,-2.52821,-2.58853,-2.60170,-2.76400,0.63426
190,0.69889,0.66097,0.65432,0.63379,0.67519,-2.33525,-2.34751,-2.44402,-2.16349,-2.37144,0.61514
191,0.68226,0.68413,0.67654,0.61645,0.68829,-2.50507,-2.58656,-2.51852,-2.45954,-2.49506,0.69512
192,0.65191,0.64588,0.65484,0.65430,0.67720,-2.22768,-2.21411,-2.28311,-2.24699,-2.37361,0.63343
193,0.67430,0.67484,0.68183,0.70037,0.67460,-2.36624,-2.67351,-2.64221,-2.75270,-2.72343,0.66964
194,0.65638,0.69167,0.64057,0.60956,0.65833,-2.35348,-2.14831,-2.51154,-2.22879,-2.27183,0.61315
195,0.69218,0.68977,0.67628,0.65736,0.68700,-2.53497,-2.64619,-2.36964,-2.37796,-2.58955,0.61160
196,0.71042,0.67425,0.66605,0.66116,0.68817,-2.45788,-2.53058,-2.30982,-2.29369,-2.42844,0.64431
197,0.70406,0.70945,0.67386,0.65672,0.68313,-2.49660,-2.48484,-2.44114,-2.36248,-2.24371,0.66307
198,0.71069,0.66221,0.70752,0.66470,0.67301,-2.84482,-2.75822,-2.83736,-2.95172,-2.77264,0.70068
199,0.67354,0.68623,0.65713,0.65373,0.67252,-2.23513,-2.27993,-2.37579,-2.27425,-2.48023,0.65628
