step,phase,e_loss,s_loss,g_loss,d_loss
2500,supervised,,4.6e-05,,
2600,supervised,,4.3e-05,,
2700,supervised,,4.5e-05,,
2800,supervised,,4.5e-05,,
2900,supervised,,4.4e-05,,
3000,supervised,,4.4e-05,,
3100,supervised,,4.3e-05,,
3200,supervised,,4.5e-05,,
3300,supervised,,4e-05,,
3400,supervised,,4.2e-05,,
3500,supervised,,4.1e-05,,
3600,supervised,,4.1e-05,,
3700,supervised,,4.5e-05,,
3800,supervised,,4.5e-05,,
3900,supervised,,4.3e-05,,
4000,supervised,,4.5e-05,,
4100,supervised,,4.3e-05,,
4200,supervised,,4.5e-05,,
4300,supervised,,4.3e-05,,
4400,supervised,,4.4e-05,,
4500,supervised,,4.3e-05,,
4600,supervised,,4e-05,,
4700,supervised,,4.4e-05,,
4800,supervised,,4.2e-05,,
4900,supervised,,4.4e-05,,
5000,supervised,,4.1e-05,,
100,joint,1e-05,7.3e-05,5.670143,2.090573
200,joint,9e-06,7.8e-05,4.759232,1.840047
300,joint,4e-06,8.8e-05,4.605112,2.047698
400,joint,2.1e-05,8.2e-05,5.069102,1.86124
500,joint,1.5e-05,0.000136,5.08508,1.774848
600,joint,4e-06,0.000161,3.998304,2.42511
700,joint,1.4e-05,0.000122,6.896634,1.626907
800,joint,3.2e-05,8e-05,4.811156,1.68443
900,joint,2e-06,0.000224,9.0172,1.938196
1000,joint,6e-06,8.3e-05,6.88465,1.136557
1100,joint,7e-06,0.000198,7.531758,1.598759
1200,joint,1.3e-05,0.00011,6.770387,1.101524
1300,joint,1.9e-05,0.000123,5.762417,1.69882
1400,joint,5e-06,7.6e-05,4.292662,1.806344
1500,joint,1e-06,7.6e-05,5.646488,1.585975
1600,joint,1.1e-05,8.4e-05,7.282874,1.592817
1700,joint,3.5e-05,0.000129,6.518926,1.806757
1800,joint,1.3e-05,8.8e-05,5.039115,1.750164
1900,joint,4e-06,8.6e-05,4.856513,1.809128
2000,joint,6e-06,9.3e-05,4.460654,1.720409
2100,joint,4e-06,7.6e-05,4.229059,1.72999
2200,joint,1e-06,8.1e-05,5.236633,1.705223
2300,joint,5e-06,0.000131,4.890779,1.736027
2400,joint,5e-06,8e-05,6.92623,0.766915
2500,joint,5e-06,0.0001,5.10483,1.238759
2600,joint,3e-06,0.000121,5.532079,1.655672
2700,joint,1.5e-05,0.000112,6.614007,2.066711
2800,joint,1.7e-05,0.000114,5.552087,2.079673
2900,joint,5e-06,0.000113,4.932506,1.879511
3000,joint,7e-06,8.7e-05,5.72802,1.825366
3100,joint,1e-06,9.7e-05,5.502455,1.889328
3200,joint,1e-06,7.7e-05,4.469028,1.863644
3300,joint,9e-06,7.3e-05,5.297442,1.842088
3400,joint,1e-05,8.6e-05,5.081888,1.837214
3500,joint,1.2e-05,8.2e-05,4.179718,1.862736
3600,joint,1e-06,0.000107,4.87818,1.832391
3700,joint,2e-06,7.8e-05,4.483221,1.848221
3800,joint,2.4e-05,8.9e-05,5.450488,1.863968
3900,joint,2e-06,8e-05,5.283196,1.85214
4000,joint,3e-06,0.0001,4.87233,1.855844
4100,joint,1.2e-05,8e-05,4.019845,1.87125
4200,joint,0.0,9.9e-05,4.733528,1.849895
4300,joint,4e-06,7.9e-05,5.30597,1.868811
4400,joint,1e-06,9.4e-05,3.763185,1.927242
4500,joint,5e-06,0.00013,4.694175,1.863198
4600,joint,1e-06,8.6e-05,4.646121,1.88924
4700,joint,2e-06,0.000102,5.167013,1.96199
4800,joint,2e-06,9.6e-05,4.5091,1.857659
4900,joint,2e-06,8.1e-05,4.206782,1.862632
5000,joint,2e-06,0.000123,7.34449,1.830706
5100,joint,7e-06,8.6e-05,4.341448,1.887134
5200,joint,3e-06,8.4e-05,4.775933,1.901452
5300,joint,4e-06,8.2e-05,4.474064,1.781147
5400,joint,3e-06,8.2e-05,4.541712,1.899333
5500,joint,1.3e-05,0.000128,4.705895,1.861943
5600,joint,1e-06,9.6e-05,5.107185,1.8307
5700,joint,4e-06,8.2e-05,5.065438,1.916007
5800,joint,4e-06,0.000105,4.076095,1.902017
5900,joint,4e-06,9e-05,4.063089,1.886905
6000,joint,1e-06,8.7e-05,3.977924,1.893646
6100,joint,1e-06,8.5e-05,5.354091,1.905135
6200,joint,2e-06,9.7e-05,5.912922,1.895288
6300,joint,1e-06,9.3e-05,4.733068,1.980737
6400,joint,2e-06,0.000117,4.653393,1.895466
6500,joint,1e-06,9.7e-05,4.108267,1.971864
6600,joint,1e-06,8.5e-05,4.716609,1.896264
6700,joint,4e-06,8.4e-05,4.678607,1.895799
6800,joint,7e-06,8.9e-05,4.232911,1.900003
6900,joint,7e-06,7.9e-05,4.048229,1.877958
7000,joint,4e-06,8.5e-05,5.488322,1.894804
7100,joint,1e-06,9.6e-05,4.990306,1.857046
7200,joint,3e-06,0.0001,4.864497,1.891576
7300,joint,0.0,8.7e-05,3.919329,1.829485
7400,joint,1e-06,8.3e-05,4.118453,1.886639
7500,joint,0.0,9.3e-05,5.186208,1.878768
7600,joint,1e-06,8.5e-05,5.101754,1.934219
7700,joint,2e-06,8.4e-05,3.925859,1.850691
7800,joint,2e-06,8.9e-05,4.796134,1.841149
7900,joint,5e-06,9.7e-05,4.56184,1.87973
8000,joint,2e-06,9.4e-05,3.686469,1.948174
8100,joint,1e-06,8.3e-05,4.47645,1.806958
8200,joint,0.0,9.2e-05,5.160903,1.889161
8300,joint,2e-06,9e-05,4.31617,1.914421
8400,joint,0.0,8.3e-05,4.031251,1.866552
8500,joint,2e-06,9.1e-05,5.520177,1.859234
8600,joint,6e-06,9.2e-05,4.897087,1.8777
8700,joint,2e-06,0.000108,6.750272,1.844636
8800,joint,4e-06,9.7e-05,4.180304,1.852121
8900,joint,6e-06,9.1e-05,4.096055,1.839788
9000,joint,5e-06,8.7e-05,3.984358,1.877701
9100,joint,2e-06,8.6e-05,4.25865,1.791375
9200,joint,1e-06,9e-05,4.786482,1.926895
9300,joint,1e-06,8.8e-05,4.330826,1.805755
9400,joint,1e-06,8.2e-05,5.505781,1.822538
9500,joint,3e-06,8.7e-05,3.950917,1.832356
9600,joint,3e-06,9.5e-05,5.207873,1.817883
9700,joint,0.0,8.6e-05,4.545744,1.824834
9800,joint,1e-06,9.8e-05,4.738321,1.880451
9900,joint,0.0,8.6e-05,4.369557,1.849939
10000,joint,1e-06,8.9e-05,4.832451,1.888382
